id,lecture,run,addBlock,insertBlock,moveBlock,seperateBlock,destroyBlock,destroyBlockAlone
0,201,2,3,3,0,0,0,0
0,202,1,2,2,0,0,0,0
0,203,1,3,3,0,0,0,0
0,204,1,3,3,0,0,0,0
0,205,1,4,3,0,0,1,0
0,206,1,4,4,0,0,0,0
0,207,1,5,7,1,1,1,0
0,208,1,7,7,0,0,0,0
0,209,1,6,6,0,0,0,0
0,210,1,8,8,0,0,0,0
0,211,1,1,1,0,0,0,0
0,212,1,2,2,0,0,0,0
0,214,2,4,6,1,2,1,0
0,402,3,4,6,0,1,0,0
0,403,1,2,2,1,1,1,0
0,404,2,1,2,0,3,2,0
0,405,3,1,6,2,2,1,0
0,406,1,3,3,0,0,0,0
0,407,1,4,4,1,0,0,0
0,408,1,4,4,0,0,0,0
0,409,1,6,6,0,0,0,0
1,201,1,2,2,0,0,0,0
1,202,1,2,2,0,0,0,0
1,203,1,3,3,0,0,0,0
1,204,1,3,3,0,0,0,0
1,205,1,3,3,0,0,0,0
1,206,1,4,4,0,0,0,0
1,207,1,3,4,0,0,0,0
1,208,1,7,7,0,0,0,0
1,209,1,6,6,0,0,0,0
1,210,2,16,16,3,1,0,0
1,211,1,1,1,0,0,0,0
1,212,1,2,5,0,0,0,0
1,214,1,3,3,0,0,0,0
1,402,1,8,12,3,5,2,0
1,403,3,3,4,2,4,3,0
1,404,2,1,2,0,3,1,0
1,405,1,6,6,1,1,1,0
1,406,1,1,1,0,0,0,0
1,407,1,4,4,0,0,0,0
1,408,1,4,6,0,0,0,0
1,409,1,6,7,0,0,0,0
2,402,2,8,10,0,1,0,0
2,403,1,4,5,0,2,0,0
2,404,1,2,2,0,0,0,0
2,405,1,6,6,1,0,0,0
2,406,1,1,1,0,0,0,0
2,407,1,4,5,1,0,0,0
2,408,1,4,4,0,0,0,0
2,409,1,6,6,0,0,0,0
2,201,2,2,2,0,0,0,0
2,202,1,2,2,0,0,0,0
2,203,1,3,3,0,0,0,0
2,204,1,3,3,0,0,0,0
2,205,2,4,4,0,1,0,0
2,206,2,5,7,0,1,0,0
2,207,2,4,4,0,0,0,0
2,208,2,7,7,0,0,0,0
2,209,1,6,6,0,0,0,0
2,210,1,8,8,0,0,0,0
2,211,1,1,1,0,0,0,0
2,212,1,2,3,0,0,0,0
2,214,1,3,3,0,0,0,0
3,402,1,8,8,0,0,0,0
3,403,1,3,3,0,0,0,0
3,404,1,2,2,0,0,0,0
3,405,1,6,6,0,0,0,0
3,406,1,1,1,0,0,0,0
3,407,2,4,6,0,0,0,0
3,408,1,4,6,0,0,0,0
3,409,3,6,10,0,1,0,0
3,201,1,2,2,0,0,0,0
3,202,1,2,2,0,0,0,0
3,203,1,3,3,0,0,0,0
3,204,1,4,4,0,0,0,0
3,205,4,5,5,0,2,2,0
