id,lecture,run,+normal,+repeat,+if,5#,10#,30#,60#,300#,long#
0,402,1,8,0,0,9,0,0,0,0,0
0,403,1,3,0,0,4,0,0,0,0,0
0,404,1,1,1,0,3,0,0,0,0,0
0,405,1,8,2,0,11,0,0,0,0,0
0,406,1,1,0,0,2,0,0,0,0,0
0,407,1,2,1,1,5,0,0,0,0,0
0,408,1,4,1,1,7,0,0,0,0,0
0,409,1,4,1,4,10,0,0,0,0,0
0,410,1,4,1,3,8,1,0,0,0,0
1,402,1,8,0,0,7,1,1,0,0,0
1,403,1,3,0,0,3,0,1,0,0,0
1,404,1,1,1,0,2,0,1,0,0,0
1,405,1,5,1,0,5,0,2,0,0,0
1,406,1,1,0,0,1,0,1,0,0,0
1,407,2,2,1,1,5,0,1,0,0,0
1,408,1,2,1,1,4,0,1,0,0,0
1,409,1,3,1,2,6,0,1,0,0,0
1,410,2,6,1,2,7,1,1,1,1,0
2,402,3,5,1,0,6,2,1,0,0,0
2,403,1,2,0,0,3,0,0,0,0,0
2,404,2,1,1,0,3,1,0,0,0,0
2,405,3,5,1,0,8,0,1,0,0,0
2,406,1,2,0,1,4,0,0,0,0,0
2,407,1,2,1,1,5,0,0,0,0,0
2,408,1,2,1,1,5,0,0,0,0,0
2,409,1,3,1,2,7,0,0,0,0,0
2,410,6,10,1,7,18,3,2,1,0,0
3,403,1,3,0,0,4,0,0,0,0,0
3,404,1,3,1,0,5,0,0,0,0,0
3,405,1,5,1,0,6,1,0,0,0,0
3,406,1,2,0,0,3,0,0,0,0,0
3,407,1,2,1,1,5,0,0,0,0,0
3,408,1,3,1,2,7,0,0,0,0,0
3,409,1,5,1,3,8,2,0,0,0,0
3,410,5,6,1,5,11,2,3,0,1,0
4,402,1,8,0,0,9,0,0,0,0,0
4,403,1,3,0,0,4,0,0,0,0,0
4,404,1,1,1,0,3,0,0,0,0,0
4,405,2,6,1,0,8,1,0,0,0,0
4,406,1,1,0,0,2,0,0,0,0,0
4,407,1,3,1,1,6,0,0,0,0,0
4,408,1,2,1,1,5,0,0,0,0,0
4,409,1,3,1,2,7,0,0,0,0,0
4,410,3,4,1,3,9,0,2,0,0,0
5,410,1,4,1,2,8,0,0,0,0,0
6,402,5,7,4,0,13,3,0,0,0,0
6,403,1,3,0,0,4,0,0,0,0,0
6,404,1,2,2,0,5,0,0,0,0,0
6,405,1,5,1,0,7,0,0,0,0,0
