id,lecture,run,+normal,+repeat,+if,5#,10#,30#,60#,300#,long#
0,402,1,8,0,0,9,0,0,0,0,0
1,402,2,13,0,0,15,0,0,0,0,0
2,402,1,8,0,0,8,1,0,0,0,0
2,403,1,3,0,0,4,0,0,0,0,0
2,404,1,1,1,0,3,0,0,0,0,0
2,405,1,5,1,0,6,1,0,0,0,0
2,406,1,1,0,0,2,0,0,0,0,0
2,407,2,5,1,1,9,0,0,0,0,0
2,408,1,2,1,1,5,0,0,0,0,0
2,409,1,3,1,3,8,0,0,0,0,0
2,410,3,7,1,2,10,0,1,2,0,0
3,402,2,8,0,0,8,1,1,0,0,0
3,403,1,4,0,0,5,0,0,0,0,0
3,404,2,3,1,0,5,1,0,0,0,0
3,405,2,22,3,0,19,6,2,0,0,0
3,406,1,1,0,0,1,1,0,0,0,0
3,407,9,17,11,5,29,8,4,1,0,0
3,408,1,6,1,1,9,0,0,0,0,0
3,409,1,4,1,2,6,2,0,0,0,0
3,410,6,13,1,6,19,3,4,0,0,0
4,402,1,8,0,0,4,5,0,0,0,0
4,403,1,4,0,0,5,0,0,0,0,0
4,404,5,16,4,0,17,3,4,0,1,0
4,405,2,20,2,0,15,6,2,0,1,0
6,402,1,8,0,0,8,1,0,0,0,0
6,403,1,3,0,0,4,0,0,0,0,0
6,404,1,1,1,0,3,0,0,0,0,0
6,405,2,5,1,0,6,1,1,0,0,0
6,406,2,2,0,0,4,0,0,0,0,0
6,407,1,2,1,1,5,0,0,0,0,0
6,408,1,3,2,1,7,0,0,0,0,0
6,409,1,3,1,3,8,0,0,0,0,0
6,410,3,8,1,7,13,2,3,1,0,0
7,402,12,13,10,0,22,5,6,0,2,0
7,403,1,1,0,0,2,0,0,0,0,0
7,404,2,1,1,0,3,1,0,0,0,0
7,405,2,2,2,0,4,2,0,0,0,0
7,406,1,1,0,0,2,0,0,0,0,0
7,407,1,2,1,1,5,0,0,0,0,0
9,402,2,8,0,0,10,0,0,0,0,0
9,403,1,3,0,0,4,0,0,0,0,0
9,404,1,2,1,0,4,0,0,0,0,0
9,405,2,7,1,0,9,1,0,0,0,0
9,406,1,2,0,0,3,0,0,0,0,0
9,407,1,2,1,1,5,0,0,0,0,0
9,408,1,2,1,1,5,0,0,0,0,0
9,409,1,3,1,2,6,1,0,0,0,0
9,410,4,6,1,5,12,2,2,0,0,0
10,402,2,12,1,0,11,3,1,0,0,0
10,403,2,5,0,0,5,1,1,0,0,0
10,404,1,2,2,0,4,0,1,0,0,0
10,405,1,5,2,0,6,2,0,0,0,0
10,406,1,1,0,0,2,0,0,0,0,0
10,407,2,3,1,1,7,0,0,0,0,0
10,408,2,6,1,1,9,1,0,0,0,0
10,409,1,8,2,13,23,0,1,0,0,0
10,410,2,9,1,6,16,1,1,0,0,0
11,402,2,8,0,0,9,1,0,0,0,0
11,403,1,3,0,0,4,0,0,0,0,0
11,404,1,1,1,0,3,0,0,0,0,0
11,405,3,6,1,0,9,1,0,0,0,0
11,406,1,2,0,0,3,0,0,0,0,0
11,407,1,3,1,1,6,0,0,0,0,0
11,408,1,8,1,3,13,0,0,0,0,0
11,409,1,4,1,2,8,0,0,0,0,0
11,410,2,5,1,6,8,2,3,0,0,1
12,402,1,8,0,0,8,1,0,0,0,0
12,405,3,5,1,0,7,1,1,0,0,0
12,406,1,1,0,0,2,0,0,0,0,0
12,407,2,5,4,1,10,2,0,0,0,0
12,408,2,4,1,4,10,1,0,0,0,0
12,409,1,5,1,3,9,1,0,0,0,0
12,410,3,8,1,4,13,1,2,0,0,0
13,402,1,8,0,0,8,1,0,0,0,0
13,403,1,4,0,0,4,1,0,0,0,0
13,404,1,2,1,0,4,0,0,0,0,0
13,405,2,9,1,0,9,1,2,0,0,0
13,406,1,1,0,0,2,0,0,0,0,0
13,407,15,32,5,8,44,8,7,1,0,0
13,408,11,20,3,6,32,4,4,0,0,0
13,409,3,9,1,8,13,5,3,0,0,0
13,410,15,35,10,10,47,14,7,2,0,0
14,402,5,24,0,0,27,2,0,0,0,0
14,403,1,3,0,0,4,0,0,0,0,0
14,404,1,2,1,0,4,0,0,0,0,0
14,405,6,12,1,0,17,2,0,0,0,0
14,406,2,1,0,0,2,1,0,0,0,0
14,407,1,2,1,1,5,0,0,0,0,0
14,408,1,4,1,1,7,0,0,0,0,0
14,409,2,4,1,2,8,1,0,0,0,0
14,410,8,13,1,8,20,2,7,0,1,0
15,402,1,8,0,0,8,1,0,0,0,0
15,403,1,2,0,0,2,1,0,0,0,0
15,404,1,1,1,0,2,0,1,0,0,0
15,405,2,8,1,0,9,2,0,0,0,0
15,406,1,1,0,0,2,0,0,0,0,0
15,407,1,3,1,1,6,0,0,0,0,0
15,408,1,2,1,1,5,0,0,0,0,0
15,409,1,3,1,2,7,0,0,0,0,0
15,410,10,54,11,22,59,21,14,3,0,0
16,402,1,8,0,0,9,0,0,0,0,0
16,403,2,6,0,0,8,0,0,0,0,0
16,404,1,2,1,0,4,0,0,0,0,0
16,405,2,5,1,0,8,0,0,0,0,0
16,406,1,3,0,2,6,0,0,0,0,0
16,407,1,4,1,1,7,0,0,0,0,0
16,408,1,5,1,1,8,0,0,0,0,0
16,409,1,3,1,3,8,0,0,0,0,0
16,410,10,29,2,15,43,6,7,0,0,0
17,402,1,8,0,0,7,1,1,0,0,0
17,403,1,3,0,0,3,0,1,0,0,0
17,404,1,1,1,0,2,0,1,0,0,0
17,405,1,5,1,0,5,0,2,0,0,0
17,406,1,1,0,0,1,0,1,0,0,0
17,407,2,2,1,1,5,0,1,0,0,0
17,408,1,2,1,1,4,0,1,0,0,0
17,409,1,3,1,2,6,0,1,0,0,0
17,410,2,6,1,2,7,1,1,1,1,0
18,402,3,5,1,0,6,2,1,0,0,0
18,403,1,2,0,0,3,0,0,0,0,0
18,404,2,1,1,0,3,1,0,0,0,0
18,405,3,5,1,0,8,0,1,0,0,0
18,406,1,2,0,1,4,0,0,0,0,0
18,407,1,2,1,1,5,0,0,0,0,0
18,408,1,2,1,1,5,0,0,0,0,0
18,409,1,3,1,2,7,0,0,0,0,0
18,410,6,10,1,7,18,3,2,1,0,0
19,403,1,3,0,0,4,0,0,0,0,0
19,404,1,3,1,0,5,0,0,0,0,0
19,405,1,5,1,0,6,1,0,0,0,0
19,406,1,2,0,0,3,0,0,0,0,0
19,407,1,2,1,1,5,0,0,0,0,0
19,408,1,3,1,2,7,0,0,0,0,0
19,409,1,5,1,3,8,2,0,0,0,0
19,410,5,6,1,5,11,2,3,0,1,0
20,402,1,8,0,0,9,0,0,0,0,0
20,403,1,3,0,0,4,0,0,0,0,0
20,404,1,1,1,0,3,0,0,0,0,0
20,405,2,6,1,0,8,1,0,0,0,0
20,406,1,1,0,0,2,0,0,0,0,0
20,407,1,3,1,1,6,0,0,0,0,0
20,408,1,2,1,1,5,0,0,0,0,0
20,409,1,3,1,2,7,0,0,0,0,0
20,410,3,4,1,3,9,0,2,0,0,0
21,410,1,4,1,2,8,0,0,0,0,0
22,402,5,7,4,0,13,3,0,0,0,0
22,403,1,3,0,0,4,0,0,0,0,0
22,404,1,2,2,0,5,0,0,0,0,0
22,405,1,5,1,0,7,0,0,0,0,0
22,406,1,2,0,0,3,0,0,0,0,0
22,407,1,2,2,5,10,0,0,0,0,0
22,408,1,2,1,1,5,0,0,0,0,0
22,409,1,4,1,2,8,0,0,0,0,0
22,410,6,10,1,13,26,2,2,0,0,0
23,402,2,16,0,0,17,1,0,0,0,0
23,403,1,3,0,0,4,0,0,0,0,0
23,404,2,2,1,0,5,0,0,0,0,0
23,405,1,8,1,0,7,3,0,0,0,0
24,402,2,7,0,0,9,0,0,0,0,0
