Lecture,Rank,#Normal,#Repeat,#If,Sum(#action)
402,1,3.250000,0.476027,0.000000,3.726027
402,2,5.367021,1.667553,0.000000,7.034574
402,3,8.282949,0.037327,0.000000,8.320276
402,4,13.054720,0.138304,0.000000,13.193025
402,5,9.423529,4.188235,0.000000,13.611765
403,1,1.000000,0.057927,0.000000,1.057927
403,2,2.893372,0.045469,0.000000,2.938841
403,3,4.000000,0.026326,0.000000,4.026326
403,4,5.000000,0.067138,0.000000,5.067138
403,5,6.404255,0.033688,0.000000,6.437943
404,1,0.997201,0.999767,0.000000,1.996968
404,2,2.000000,1.114685,0.000000,3.114685
404,3,1.001592,2.308917,0.000000,3.310510
404,4,0.464286,3.750000,0.000000,4.214286
404,5,3.233974,1.168269,0.000000,4.402244
405,1,2.609555,1.981878,0.000000,4.591433
405,2,5.738488,1.124787,0.000000,6.863275
405,3,9.252830,1.486792,0.000000,10.739623
405,4,14.277014,1.842829,0.000000,16.119843
405,5,20.897338,2.045627,0.000000,22.942966
406,1,1.000000,0.027136,0.040705,1.067841
406,2,2.000000,0.043828,0.086194,2.130022
406,3,3.406921,0.063246,0.133652,3.603819
406,4,4.507692,0.846154,2.116923,7.470769
406,5,8.167763,0.226974,0.529605,8.924342
407,1,2.498232,1.037259,0.999456,4.534947
407,2,2.507302,1.214603,2.441905,6.163810
407,3,5.341270,1.273810,1.817460,8.432540
407,4,6.385965,2.856140,4.642105,13.884211
407,5,11.824818,1.372263,2.007299,15.204380
408,1,2.356038,1.049411,1.154930,4.560379
408,2,4.344366,1.153664,1.280536,6.778566
408,3,3.468571,1.628571,3.257143,8.354286
408,4,6.396631,1.309342,1.687596,9.393568
408,5,8.881988,1.219462,1.521739,11.623188
409,1,3.519602,1.038581,1.997200,6.555383
409,2,3.761832,1.135878,3.563868,8.461578
409,3,7.527462,1.266098,3.164773,11.958333
409,4,8.055690,1.648910,7.663438,17.368039
409,5,15.206593,1.512088,4.516484,21.235165
410,1,6.321527,1.120919,3.475374,10.917820
410,2,10.715317,1.586207,7.923015,20.224539
410,3,16.399119,1.804405,5.215859,23.419383
410,4,19.758958,2.721498,14.053746,36.534202
410,5,29.335689,2.925795,9.270318,41.531802
