MongoDB shell version: 3.0.11
connecting to: entry_2016
id,lecture,run,+normal,+repeat,+if,5#,10#,30#,60#,300#,long#
1,407,0,0,0,0,0,0,0,0,0,0
2,404,1,1,1,0,1,0,1,0,0,0
3,410,11,21,3,8,14,16,12,0,0,0
2,405,9,20,1,0,15,9,2,1,1,1
5,404,1,1,1,0,2,0,0,0,0,0
4,402,1,8,0,0,7,1,0,0,0,0
5,405,2,7,1,0,9,0,0,0,0,0
7,405,2,32,2,0,8,14,11,0,1,1
4,403,2,4,0,0,4,0,1,0,0,0
5,406,3,3,1,3,6,1,1,1,0,0
4,404,1,1,1,0,2,0,0,0,0,0
9,403,2,4,0,0,4,1,0,0,0,0
4,405,1,5,1,0,4,2,0,0,0,0
5,407,1,2,1,1,4,0,0,0,0,0
6,402,2,9,0,0,6,2,1,1,0,0
9,404,1,2,1,0,3,0,0,0,0,0
5,408,1,2,1,1,4,0,0,0,0,0
10,402,1,8,0,0,7,1,0,0,0,0
8,402,5,13,0,0,13,0,1,2,1,0
4,406,1,1,0,0,1,0,0,0,0,0
5,409,1,3,1,2,6,0,0,0,0,0
6,403,1,5,0,0,5,0,0,0,0,0
4,407,2,3,1,1,4,1,1,0,0,0
6,404,3,10,1,0,9,2,1,1,0,0
9,406,1,2,1,1,3,1,0,0,0,0
1,409,0,0,0,0,0,0,0,0,0,0
4,408,1,2,1,1,4,0,0,0,0,0
5,410,3,6,1,3,7,2,1,1,1,0
9,407,1,2,1,1,4,0,0,0,0,0
8,403,1,3,0,0,3,0,0,0,0,0
12,402,0,0,0,0,0,0,0,0,0,0
11,402,1,8,0,0,6,1,1,0,0,0
4,409,1,3,1,2,5,1,0,0,0,0
9,408,2,2,1,2,5,1,0,0,0,0
8,404,1,1,1,0,2,0,0,0,0,0
12,403,1,4,0,0,4,0,0,0,0,0
12,405,3,10,1,0,9,2,1,1,0,0
4,410,8,7,1,5,10,4,4,0,2,0
12,404,1,1,1,0,2,0,0,0,0,0
11,403,2,3,0,0,3,1,0,0,0,0
8,405,3,8,1,0,7,1,2,1,0,0
9,409,1,3,1,2,4,2,0,0,0,0
11,404,1,1,1,0,2,0,0,0,0,0
6,405,8,49,4,0,41,9,5,2,2,1
8,406,4,11,0,1,10,1,3,0,1,0
12,407,1,2,1,1,4,0,0,0,0,0
11,405,0,0,0,0,0,0,0,0,0,0
12,408,1,2,1,1,4,0,0,0,0,0
13,402,1,8,0,0,7,1,0,0,0,0
12,409,2,3,1,5,7,1,1,1,0,0
13,403,0,0,0,0,0,0,0,0,0,0
13,404,1,1,1,0,2,0,0,0,0,0
8,407,3,13,1,1,13,2,1,1,0,0
13,405,1,5,1,0,4,2,0,0,0,0
14,402,2,12,0,0,11,0,2,0,0,0
12,410,3,6,1,7,11,1,2,1,1,0
14,403,1,3,0,0,3,0,0,0,0,0
8,408,2,9,1,1,8,2,1,1,0,0
11,406,1,2,2,1,4,1,0,0,0,0
13,406,4,5,3,2,6,3,3,1,0,0
