user,user2int,lec,#run,#action,#action_per_run,interval_bw_run
OUMKvehe,21,409,6,15,2,11
8PEGM3AI,48,409,1,6,6,10
ASnwrbqm,49,409,2,7,3,12
i8sSEVtO,50,409,1,6,6,9
pwMwvV68,51,409,4,24,6,19
sZzsCpAz,52,409,1,6,6,22
Fe8jt7Kn,53,409,1,8,8,28
ruwNiInG,54,409,1,6,6,18
uiYEDaJq,55,409,1,6,6,16
Tq64lWyP,56,409,1,6,6,24
EHXK1umb,57,409,1,6,6,16
Jq032wxn,58,409,6,24,4,32
EvUnSBKm,59,409,2,6,3,14
XflpcaQC,60,409,2,7,3,17
lUpvwdyt,61,409,2,6,3,12
lXoATX1P,62,409,2,7,3,15
ORZbRZTT,63,409,1,6,6,8
bk0rcFql,64,409,6,14,2,10
GYLKwCyS,65,409,1,6,6,17
vVwN7acq,66,409,1,6,6,23
ZvM4MIfv,67,409,1,13,13,37
bejEXtuC,68,409,16,32,2,10
f7IX0uSF,69,409,7,21,3,14
E8nA3mLR,70,409,1,6,6,21
Y49AjhRS,73,409,2,7,3,12
sF83MGX2,74,409,1,7,7,17
MJ2XgcFD,75,409,14,43,3,24
SVZEPdmg,77,409,1,8,8,26
uAY6tEYG,79,409,1,6,6,18
qyvaPXHd,80,409,1,9,9,36
GnBvMdZh,81,409,2,10,5,15
WKZHySo9,83,409,9,36,4,24
PfP9w6xG,85,409,2,17,8,26
bQPsevHY,86,409,2,2,1,4
F8nl8F77,88,409,24,79,3,13
piaNetmC,92,409,5,20,4,27
i9Ao41cJ,93,409,5,29,5,23
twM3LLD7,96,409,1,6,6,41
axYU8utp,97,409,2,6,3,20
rSH5yoYQ,98,409,1,6,6,29
nvKJus7D,101,409,1,7,7,16
AJ9PCwVA,103,409,3,9,3,8
JkLm54dQ,106,409,1,6,6,29
BD0lkRuQ,108,409,1,6,6,15
plxI3Tlz,109,409,1,6,6,15
UCqjNOnF,110,409,1,6,6,81
JyildWVg,111,409,4,21,5,16
xHN3LJ7S,113,409,7,29,4,25
4PRp6129,115,409,1,6,6,39
9VXCWmzR,116,409,3,14,4,20
gKzphys2,117,409,2,14,7,17
n1FYrR9x,118,409,1,11,11,42
hxFE2sVz,119,409,2,7,3,12
qEXBcrpC,121,409,1,6,6,11
S4925FBI,122,409,9,42,4,19
4xWUVhFs,123,409,1,6,6,27
mzKY7eGc,124,409,3,17,5,33
kswVvfJk,125,409,2,11,5,20
xNTL63Tz,126,409,37,124,3,18
OYg7HfqW,127,409,1,7,7,25
EL18S46T,128,409,4,23,5,21
ETOLjLgE,129,409,1,6,6,14
tmzDSw5O,130,409,1,7,7,20
eREEQIEU,131,409,4,14,3,16
pYqEexnP,132,409,1,6,6,18
w4fatzRl,133,409,2,19,9,44
bZpZ6SVY,134,409,4,13,3,13
ziDeMEaz,135,409,6,18,3,19
PrYLZKDx,136,409,1,6,6,17
3VebWF9h,139,409,2,7,3,10
4XJshrWN,140,409,6,23,3,11
s7aXQDDA,142,409,1,7,7,21
PQlmDYva,143,409,8,22,2,20
MKtk0Fov,144,409,1,6,6,22
lcvzYqwK,146,409,1,6,6,23
zYmSLEc8,147,409,2,9,4,13
dM9aV4lv,148,409,7,19,2,17
nPIacMxq,149,409,1,6,6,11
aQDz8bs6,150,409,1,6,6,70
SBBWvphK,151,409,1,6,6,28
DaVpIPgq,152,409,1,7,7,16
kKdGgKk8,153,409,12,43,3,18
woC6VyOd,154,409,1,7,7,17
wPF0qWqP,155,409,2,12,6,158
c3ZbUV2M,156,409,1,6,6,13
whh36XFT,157,409,1,6,6,15
oLqBGfBO,158,409,1,7,7,13
75GZHP1m,159,409,1,6,6,23
HA0MNTDt,160,409,1,7,7,20
kQZ2E38v,161,409,1,6,6,13
oOViyT3j,162,409,1,7,7,14
NwHOzAGb,163,409,1,6,6,17
kJCldkhI,164,409,2,17,8,25
I1najWjX,165,409,1,6,6,18
IGQ4Xn7j,166,409,1,7,7,21
mkLf8n9N,167,409,1,6,6,14
