MongoDB shell version: 3.0.11
connecting to: entry_2016Summer
id,lecture,run,+normal,+repeat,+if,5#,10#,30#,60#,300#,long#
1,402,1,8,0,0,8,0,0,0,0,0
1,403,1,4,0,0,3,1,0,0,0,0
1,404,1,1,1,0,2,0,0,0,0,0
1,405,1,6,1,0,7,0,0,0,0,0
1,406,1,2,0,1,3,0,0,0,0,0
1,407,1,2,1,1,4,0,0,0,0,0
1,408,1,2,1,1,4,0,0,0,0,0
1,409,1,3,1,2,6,0,0,0,0,0
2,402,1,8,0,0,8,0,0,0,0,0
3,402,5,8,0,0,7,2,2,1,0,0
4,402,2,12,0,0,9,2,1,1,0,0
4,403,1,4,0,0,4,0,0,0,0,0
4,404,1,2,1,0,3,0,0,0,0,0
4,405,6,10,1,0,9,5,1,0,1,0
6,402,2,8,0,0,9,0,0,0,0,0
6,403,1,4,0,0,4,0,0,0,0,0
6,404,1,1,1,0,2,0,0,0,0,0
6,405,2,14,1,0,13,1,1,1,0,0
6,406,4,13,2,1,15,3,0,1,0,0
7,402,1,8,0,0,8,0,0,0,0,0
7,403,1,3,0,0,3,0,0,0,0,0
7,404,1,1,1,0,2,0,0,0,0,0
7,405,1,5,1,0,6,0,0,0,0,0
8,402,1,8,0,0,8,0,0,0,0,0
9,402,1,9,0,0,8,1,0,0,0,0
7,406,1,2,0,1,3,0,0,0,0,0
8,403,1,3,0,0,3,0,0,0,0,0
8,404,1,1,1,0,2,0,0,0,0,0
7,407,1,2,1,1,4,0,0,0,0,0
7,408,1,2,1,1,4,0,0,0,0,0
10,402,2,10,0,0,7,2,1,1,0,0
6,407,6,15,3,1,14,7,1,1,1,0
8,405,2,7,1,0,5,0,3,1,0,0
7,409,2,3,1,3,6,2,0,0,0,0
11,402,4,9,0,0,6,4,0,2,0,0
12,402,2,11,0,0,9,0,2,1,0,0
10,403,2,4,0,0,4,0,1,0,0,0
13,402,1,8,0,0,7,1,0,0,0,0
10,404,1,1,1,0,2,0,0,0,0,0
12,403,19,25,0,0,24,8,8,1,1,1
13,403,2,4,0,0,4,1,0,0,0,0
7,410,1,4,1,3,6,1,1,0,0,0
13,404,1,1,1,0,2,0,0,0,0,0
11,404,8,13,4,0,17,3,2,1,1,0
10,405,2,9,1,0,6,3,1,1,0,0
14,402,1,8,0,0,7,1,0,0,0,0
6,408,6,11,3,2,15,3,1,1,1,0
13,405,1,6,1,0,6,1,0,0,0,0
15,402,1,8,0,0,7,1,0,0,0,0
14,403,1,4,0,0,4,0,0,0,0,0
14,404,1,1,1,0,2,0,0,0,0,0
13,406,1,2,0,1,2,1,0,0,0,0
15,403,1,4,0,0,4,0,0,0,0,0
