user,user2int,lec,#run,#action,err_incomplete,err_without_ct,err_etc
OUMKvehe,18,409,6,15,4,0,1
8PEGM3AI,42,409,1,6,0,0,0
ASnwrbqm,43,409,2,7,0,0,1
i8sSEVtO,44,409,1,6,0,0,0
Fe8jt7Kn,45,409,1,8,0,0,0
sZzsCpAz,46,409,1,6,0,0,0
pwMwvV68,47,409,4,24,1,0,2
ruwNiInG,48,409,1,6,0,0,0
uiYEDaJq,49,409,1,6,0,0,0
EHXK1umb,50,409,1,6,0,0,0
Tq64lWyP,51,409,1,6,0,0,0
Jq032wxn,52,409,6,24,2,0,3
EvUnSBKm,53,409,2,6,1,0,0
XflpcaQC,54,409,2,7,0,0,1
lUpvwdyt,55,409,2,6,0,0,0
lXoATX1P,56,409,2,7,0,0,0
ORZbRZTT,57,409,1,6,0,0,0
bk0rcFql,58,409,6,14,0,1,4
ZvM4MIfv,59,409,1,13,0,0,0
vVwN7acq,60,409,1,6,0,0,0
GYLKwCyS,61,409,1,6,0,0,0
f7IX0uSF,62,409,7,21,2,1,3
E8nA3mLR,63,409,1,6,0,0,0
MJ2XgcFD,66,409,14,43,0,0,13
sF83MGX2,67,409,1,7,0,0,0
Y49AjhRS,68,409,2,7,0,0,1
SVZEPdmg,70,409,1,8,0,0,0
uAY6tEYG,72,409,1,6,0,0,0
qyvaPXHd,73,409,1,9,0,0,0
GnBvMdZh,74,409,2,10,0,0,0
WKZHySo9,75,409,9,36,0,0,8
bQPsevHY,77,409,2,2,0,0,1
PfP9w6xG,79,409,2,17,0,0,1
F8nl8F77,81,409,27,79,5,5,11
piaNetmC,84,409,5,20,0,0,4
i9Ao41cJ,86,409,5,29,0,0,3
twM3LLD7,89,409,1,6,0,0,0
axYU8utp,90,409,2,6,0,0,0
rSH5yoYQ,91,409,1,6,0,0,0
nvKJus7D,95,409,1,7,0,0,0
AJ9PCwVA,98,409,3,9,0,0,1
JkLm54dQ,99,409,1,6,0,0,0
BD0lkRuQ,100,409,1,6,0,0,0
plxI3Tlz,102,409,1,6,0,0,0
JyildWVg,103,409,4,21,1,0,2
xHN3LJ7S,106,409,7,29,0,0,6
4PRp6129,107,409,1,6,0,0,0
n1FYrR9x,108,409,1,11,0,0,0
9VXCWmzR,109,409,3,14,0,0,2
gKzphys2,110,409,2,14,1,0,0
hxFE2sVz,111,409,2,7,0,0,1
S4925FBI,112,409,9,42,0,0,7
