user,user2int,lec,#runs,#actions,~5,5~10,10~30,30~60,60~
EjV5T1cU,1,409,1,7,0,0,0,0,0
8YsGBsNy,2,409,2,10,0,0,1,0,0
ux19Kbo7,3,409,1,6,0,0,0,0,0
AlIXKbUh,4,409,1,9,0,0,0,0,0
DxeWgINu,5,409,1,6,0,0,0,0,0
gMKbjsx9,6,409,4,6,2,0,1,0,0
uUmChl7x,7,409,4,24,0,1,2,0,0
tyWPpnu7,8,409,1,6,0,0,0,0,0
fQ9JLvja,9,409,2,12,0,1,0,0,0
QsXkpBha,10,409,3,11,0,1,1,0,0
w1Y7jsYz,11,409,1,6,0,0,0,0,0
q3O3w4tg,12,409,3,22,1,0,0,1,0
8tiBPj9F,13,409,5,11,0,0,3,0,1
W7CEpMvL,14,409,1,6,0,0,0,0,0
gRW3cK57,15,409,1,6,0,0,0,0,0
vTuiEO9K,16,409,7,51,0,0,1,1,4
MPTPo2pa,17,409,4,12,0,0,3,0,0
Yy6Pkpin,18,409,3,7,0,2,0,0,0
BEwHg5te,19,409,32,81,3,2,16,5,5
47e7f0pa,20,409,1,6,0,0,0,0,0
OUMKvehe,21,409,6,15,0,2,3,0,0
W7GDOYE9,22,409,1,6,0,0,0,0,0
TraKzV4V,23,409,1,6,0,0,0,0,0
ChqF5cE5,24,409,2,6,0,0,1,0,0
W6RUPckF,25,409,4,14,0,0,3,0,0
Eit3bm1O,26,409,2,7,0,0,1,0,0
rAI67e2S,27,409,1,8,0,0,0,0,0
XuVccfhS,28,409,6,24,0,3,2,0,0
kENTzgSd,29,409,2,16,0,0,0,1,0
RDigXztr,30,409,1,6,0,0,0,0,0
sYTvoED7,31,409,2,8,0,1,0,0,0
8X5ySXLW,32,409,1,6,0,0,0,0,0
Dy9yap7d,33,409,1,6,0,0,0,0,0
M92ysI9i,34,409,1,6,0,0,0,0,0
fCwNE510,35,409,1,5,0,0,0,0,0
N9kkQ187,36,409,1,6,0,0,0,0,0
EROP2tM7,37,409,3,8,0,0,2,0,0
s9LbVd8I,38,409,0,0,0,0,0,0,0
oL1JEP1w,39,409,2,7,0,1,0,0,0
Spg2n5H6,40,409,7,38,0,0,2,2,2
MAEKpzO7,41,409,1,6,0,0,0,0,0
0pBn7rri,42,409,1,6,0,0,0,0,0
XfpKkJwU,43,409,4,8,0,2,1,0,0
QI5Ud5vX,44,409,1,7,0,0,0,0,0
2J5UPpKm,45,409,1,6,0,0,0,0,0
4Q4dnAE9,46,409,1,6,0,0,0,0,0
pO46ptWh,47,409,1,6,0,0,0,0,0
8PEGM3AI,48,409,1,6,0,0,0,0,0
ASnwrbqm,49,409,2,7,0,0,1,0,0
i8sSEVtO,50,409,1,6,0,0,0,0,0
pwMwvV68,51,409,4,24,0,0,3,0,0
sZzsCpAz,52,409,1,6,0,0,0,0,0
Fe8jt7Kn,53,409,1,8,0,0,0,0,0
ruwNiInG,54,409,1,6,0,0,0,0,0
uiYEDaJq,55,409,1,6,0,0,0,0,0
Tq64lWyP,56,409,1,6,0,0,0,0,0
EHXK1umb,57,409,1,6,0,0,0,0,0
Jq032wxn,58,409,6,24,0,0,3,1,1
EvUnSBKm,59,409,2,6,0,0,1,0,0
XflpcaQC,60,409,2,7,0,0,1,0,0
lUpvwdyt,61,409,2,6,1,0,0,0,0
lXoATX1P,62,409,3,7,2,0,0,0,0
ORZbRZTT,63,409,1,6,0,0,0,0,0
bk0rcFql,64,409,6,14,1,2,2,0,0
GYLKwCyS,65,409,1,6,0,0,0,0,0
vVwN7acq,66,409,1,6,0,0,0,0,0
ZvM4MIfv,67,409,1,13,0,0,0,0,0
bejEXtuC,68,409,16,32,5,2,4,3,1
f7IX0uSF,69,409,7,21,0,1,5,0,0
E8nA3mLR,70,409,1,6,0,0,0,0,0
i5bcGxsq,71,409,6,16,0,0,5,0,0
LD4JdLA7,72,409,2,6,1,0,0,0,0
Y49AjhRS,73,409,2,7,0,1,0,0,0
sF83MGX2,74,409,1,7,0,0,0,0,0
MJ2XgcFD,75,409,14,43,0,4,6,2,1
xiZfahRu,76,409,15,29,2,4,3,3,2
SVZEPdmg,77,409,1,8,0,0,0,0,0
fSjO8YgI,78,409,5,39,0,0,2,0,2
uAY6tEYG,79,409,1,6,0,0,0,0,0
qyvaPXHd,80,409,1,9,0,0,0,0,0
GnBvMdZh,81,409,2,10,1,0,0,0,0
IMObh6V2,82,409,2,7,1,0,0,0,0
WKZHySo9,83,409,9,36,1,0,5,2,0
KoMa2VbP,84,409,2,13,0,0,0,1,0
PfP9w6xG,85,409,2,17,0,0,1,0,0
bQPsevHY,86,409,2,2,0,1,0,0,0
uRXLl6DB,87,409,1,6,0,0,0,0,0
F8nl8F77,88,409,28,79,8,6,10,3,0
ekMB5jEo,89,409,16,69,5,0,5,1,4
iD4C4Dbl,90,409,0,0,0,0,0,0,0
DikfVPpO,91,409,1,3,0,0,0,0,0
piaNetmC,92,409,5,20,1,0,2,1,0
i9Ao41cJ,93,409,6,29,2,0,2,1,0
cj2ozQvX,94,409,1,7,0,0,0,0,0
3xAwwyUw,95,409,0,0,0,0,0,0,0
twM3LLD7,96,409,1,6,0,0,0,0,0
axYU8utp,97,409,2,6,0,0,1,0,0
rSH5yoYQ,98,409,1,6,0,0,0,0,0
TjgKGOew,99,409,14,18,2,3,5,3,0
XODkQoEt,100,409,15,49,0,2,9,2,1
nvKJus7D,101,409,1,7,0,0,0,0,0
R6G6nFkH,102,409,2,8,0,0,1,0,0
AJ9PCwVA,103,409,3,9,0,1,1,0,0
c0D4LIeF,104,409,0,7,0,0,0,0,0
y0cvt1rF,105,409,1,5,0,0,0,0,0
JkLm54dQ,106,409,1,6,0,0,0,0,0
VyOnMQSv,107,409,20,51,3,2,9,3,2
BD0lkRuQ,108,409,1,6,0,0,0,0,0
plxI3Tlz,109,409,1,6,0,0,0,0,0
UCqjNOnF,110,409,1,6,0,0,0,0,0
JyildWVg,111,409,4,21,0,0,3,0,0
ocH8srH4,112,409,2,25,0,0,0,0,1
xHN3LJ7S,113,409,7,29,1,0,3,1,1
PVmIe8Dp,114,409,1,14,0,0,0,0,0
4PRp6129,115,409,1,6,0,0,0,0,0
9VXCWmzR,116,409,3,14,0,0,2,0,0
gKzphys2,117,409,2,14,0,0,1,0,0
n1FYrR9x,118,409,1,11,0,0,0,0,0
hxFE2sVz,119,409,2,7,0,0,1,0,0
nh7Tifzs,120,409,0,0,0,0,0,0,0
qEXBcrpC,121,409,1,6,0,0,0,0,0
S4925FBI,122,409,9,42,2,0,4,2,0
4xWUVhFs,123,409,1,6,0,0,0,0,0
