key,id,lecture,run,+normal,+repeat,+if,5#,10#,30#,60#,300#,long#
fCwNE510,35,409,1,3,1,1,5,0,0,0,0,0
s9LbVd8I,38,409,0,0,0,0,0,0,0,0,0,0
bQPsevHY,86,409,2,0,0,1,1,1,0,0,0,0
3xAwwyUw,95,409,0,0,0,0,0,0,0,0,0,0
nh7Tifzs,120,409,0,0,0,0,0,0,0,0,0,0
RHjJrIaq,184,409,0,0,0,0,0,0,0,0,0,0
bT1F5LSE,230,409,1,2,0,0,2,0,0,0,0,0
XXVAZbZS,300,409,2,2,1,2,4,2,0,0,0,0
QoxAoLNV,415,409,1,1,0,0,1,0,0,0,0,0
MKAqsu01,537,409,0,0,0,0,0,0,0,0,0,0
9oWJ6ehm,588,409,1,1,0,1,1,1,0,0,0,0
tEPb29cR,618,409,1,0,0,0,0,0,0,0,0,0
TrQ0Xx0g,714,409,0,0,0,0,0,0,0,0,0,0
OvnwvDqq,750,409,0,0,0,0,0,0,0,0,0,0
NcFfCtWu,770,409,0,0,0,0,0,0,0,0,0,0
W3mjoLcF,789,409,3,4,0,1,5,0,2,0,0,0
lOKvjstS,795,409,1,1,0,0,1,0,0,0,0,0
fYC4Us2H,853,409,0,0,0,0,0,0,0,0,0,0
zM5UdL33,899,409,0,0,0,0,0,0,0,0,0,0
Zp3pODqv,915,409,1,1,0,1,1,1,0,0,0,0
b3Lo7OiT,1045,409,2,1,1,1,3,0,1,0,0,0
hIAAwkHX,1093,409,1,0,0,1,1,0,0,0,0,0
gjFHCLEM,1120,409,0,0,0,0,0,0,0,0,0,0
klIVxesP,1197,409,1,1,0,0,1,0,0,0,0,0
vHIdunkp,1253,409,0,0,0,0,0,0,0,0,0,0
eC2AFBUi,1289,409,2,1,0,1,2,0,1,0,0,0
D3nSJYZA,1453,409,2,2,0,2,5,0,0,0,0,0
G2yQYwP3,1478,409,0,0,0,0,0,0,0,0,0,0
XVFdiu85,1501,409,1,2,0,2,4,0,0,0,0,0
dUD2kHlW,1529,409,0,0,0,0,0,0,0,0,0,0
nxmaGIhq,1658,409,1,0,0,2,2,0,0,0,0,0
eaQxGGbO,1727,409,1,0,0,0,0,0,0,0,0,0
LBI0n8q1,1753,409,0,0,0,0,0,0,0,0,0,0
4Vt5PQ69,1773,409,1,0,0,0,0,0,0,0,0,0
rgfdtz3t,1788,409,1,1,0,1,2,0,0,0,0,0
h0Tat3nj,1861,409,3,4,0,0,3,1,2,0,0,0
s2kWyYNS,1865,409,0,0,0,0,0,0,0,0,0,0
ZZsd4Jbb,1873,409,1,0,0,0,0,0,0,0,0,0
zjPZYZFW,1892,409,2,4,0,0,5,0,0,0,0,0
6ZXJLD8B,1920,409,0,0,0,0,0,0,0,0,0,0
KR7fzsmz,2011,409,0,0,0,0,0,0,0,0,0,0
kCUW94wd,2015,409,1,0,1,2,3,0,0,0,0,0
QbzeL4fn,2079,409,0,0,0,0,0,0,0,0,0,0
ttf2n3Dg,2080,409,2,3,0,2,6,0,0,0,0,0
8ZiuGmAc,2127,409,1,0,0,1,1,0,0,0,0,0
PALfyBHV,2131,409,0,0,0,0,0,0,0,0,0,0
I8yZpQqL,2142,409,0,0,0,0,0,0,0,0,0,0
gUEBRS2m,2154,409,0,0,0,0,0,0,0,0,0,0
F1zDGaHD,2167,409,0,0,0,0,0,0,0,0,0,0
s1u0eeiq,2229,409,2,2,0,0,2,1,0,0,0,0
cDekWSzB,2234,409,0,0,0,0,0,0,0,0,0,0
ejzBODYq,2247,409,0,0,0,0,0,0,0,0,0,0
G4q5GBqm,2249,409,0,0,0,0,0,0,0,0,0,0
r0H3lWXr,2256,409,0,0,0,0,0,0,0,0,0,0
jOvSiGmI,2278,409,1,1,0,1,2,0,0,0,0,0
TZQyQYRL,2287,409,0,0,0,0,0,0,0,0,0,0
CeBeh4f2,2292,409,0,0,0,0,0,0,0,0,0,0
rP06Nvdn,2299,409,0,0,0,0,0,0,0,0,0,0
wWB9z6rM,2321,409,0,0,0,0,0,0,0,0,0,0
lbyHw1Dt,2324,409,1,1,0,1,2,0,0,0,0,0
sh3WudyZ,2341,409,0,0,0,0,0,0,0,0,0,0
ZfdwZW7n,2367,409,1,1,0,0,1,0,0,0,0,0
40XdBFMK,2376,409,3,0,0,1,1,2,0,0,0,0
kV7bjY7b,2380,409,0,0,0,0,0,0,0,0,0,0
rpXkGhIk,2383,409,0,0,0,0,0,0,0,0,0,0
0VnduczZ,2391,409,0,0,0,0,0,0,0,0,0,0
vifPoLKJ,2447,409,4,2,0,2,4,1,2,0,0,0
ZFLvZ7LL,2450,409,0,0,0,0,0,0,0,0,0,0
5w2pIrrX,2465,409,0,0,0,0,0,0,0,0,0,0
u8hBbWrV,2493,409,0,0,0,0,0,0,0,0,0,0
ycMKSakz,2495,409,0,0,0,0,0,0,0,0,0,0
tZMKE0OX,2511,409,0,0,0,0,0,0,0,0,0,0
