key,id,lecture,run,+normal,+repeat,+if,5#,10#,30#,60#,300#,long#
fCwNE510,35,409,1,3,1,1,5,0,0,0,0,0
y0cvt1rF,105,409,1,3,1,1,3,0,1,1,0,0
9pcG8kwX,418,409,1,3,0,2,5,0,0,0,0,0
W3mjoLcF,789,409,3,4,0,1,5,0,2,0,0,0
igRXwYeg,2858,409,3,3,0,2,5,1,1,0,0,0
k0k4jx9V,2884,409,2,4,1,0,4,0,2,0,0,0
Q6kT6Ceh,3003,409,1,2,1,2,4,1,0,0,0,0
1uOHdwRP,3497,409,3,0,1,4,1,3,2,1,0,0
E3GAnUmA,4362,409,2,2,1,2,3,2,1,0,0,0
EOXj2bfU,4363,409,1,2,1,2,5,0,0,0,0,0
EW22yLmO,5388,409,2,0,0,5,3,2,1,0,0,0
wU8zJ8lf,7082,409,3,5,0,0,5,1,1,0,0,0
4znSyWvM,9042,409,2,3,0,2,0,4,1,1,0,0
LzO1of6l,9058,409,2,1,0,4,3,2,1,0,0,0
ZjePWtmD,9069,409,1,4,0,1,4,1,0,0,0,0
zdUHPVXY,9254,409,3,2,0,3,4,1,2,0,0,0
h3JEyh2e,9530,409,2,3,0,2,4,1,1,0,0,0
NBwLYbV2,14253,409,9,2,1,2,10,1,2,0,0,0
