id,lecture,run,addBlock,insertBlock,moveBlock,seperateBlock,destroyBlock,destroyBlockAlone
0,201,1,2,2,0,0,0,0
0,202,1,2,2,0,0,0,0
0,203,1,3,3,0,0,0,0
0,204,1,3,3,0,0,0,0
0,205,1,4,4,1,1,1,0
0,206,1,4,4,0,0,0,0
0,207,3,5,7,0,2,1,0
0,208,2,9,10,1,1,1,0
0,209,1,6,6,0,0,0,0
0,210,1,8,8,0,0,0,0
0,211,1,1,2,0,0,0,0
0,212,1,2,3,0,0,0,0
0,213,1,2,5,0,1,0,0
0,214,1,4,4,1,1,1,0
0,215,1,4,4,0,0,0,0
0,301,1,0,0,0,0,0,0
0,302,1,0,0,0,0,0,0
0,303,1,0,0,0,0,0,0
0,304,1,0,0,0,0,0,0
0,305,2,0,0,0,0,0,0
0,306,1,0,0,0,0,0,0
0,307,1,0,0,0,0,0,0
0,308,2,0,0,0,0,0,0
0,309,1,0,0,0,0,0,0
0,310,1,0,0,0,0,0,0
0,401,1,0,0,0,0,0,0
0,402,6,7,16,2,4,3,0
0,403,3,1,3,1,4,0,0
0,404,2,1,3,1,2,2,0
0,405,3,3,5,1,2,0,0
0,406,1,1,1,0,0,0,0
0,407,1,5,5,2,1,0,0
0,408,10,9,23,2,11,1,0
0,409,1,6,6,0,0,0,0
0,410,15,13,49,10,21,5,0
0,501,6,0,0,0,0,0,0
0,502,1,0,0,0,0,0,0
0,503,1,0,0,0,0,0,0
0,504,3,0,0,0,0,0,0
0,505,2,0,0,0,0,0,0
0,506,19,0,0,0,0,0,0
0,507,43,0,0,0,0,0,0
0,508,1,0,0,0,0,0,0
0,509,15,0,0,0,0,0,0
0,510,1,0,0,0,0,0,0
1,201,1,2,2,0,0,0,0
1,202,1,2,2,0,0,0,0
1,203,1,3,3,0,0,0,0
1,204,1,3,3,0,0,0,0
1,205,1,3,3,0,0,0,0
1,206,1,4,4,0,0,0,0
1,207,1,4,4,0,0,0,0
1,208,1,7,7,0,0,0,0
1,209,1,6,6,0,0,0,0
1,210,1,9,9,0,1,1,0
1,211,1,1,1,0,0,0,0
1,212,1,2,5,0,0,0,0
1,213,1,0,0,0,0,0,0
