id,lecture,run,addBlock,insertBlock,moveBlock,seperateBlock,destroyBlock,destroyBlockAlone
0,201,1,2,2,0,0,0,0
0,202,1,2,2,0,0,0,0
0,203,1,3,3,0,0,0,0
0,204,1,3,3,0,0,0,0
0,205,1,4,4,1,1,1,0
0,206,1,4,4,0,0,0,0
0,207,3,5,7,0,2,1,0
0,208,2,9,10,1,1,1,0
0,209,1,6,6,0,0,0,0
0,210,1,8,8,0,0,0,0
0,211,1,1,2,0,0,0,0
0,212,1,2,3,0,0,0,0
0,214,1,4,4,1,1,1,0
0,402,6,7,16,2,4,3,0
0,403,3,1,3,1,4,0,0
0,404,2,1,3,1,2,2,0
0,405,3,3,5,1,2,0,0
0,406,1,1,1,0,0,0,0
0,407,1,5,5,2,1,0,0
0,408,10,9,23,2,11,1,0
0,409,1,6,6,0,0,0,0
1,201,1,2,2,0,0,0,0
1,202,1,2,2,0,0,0,0
1,203,1,3,3,0,0,0,0
1,204,1,3,3,0,0,0,0
1,205,1,3,3,0,0,0,0
1,206,1,4,4,0,0,0,0
1,207,1,4,4,0,0,0,0
1,208,1,7,7,0,0,0,0
1,209,1,6,6,0,0,0,0
1,210,1,9,9,0,1,1,0
1,211,1,1,1,0,0,0,0
1,212,1,2,5,0,0,0,0
1,214,3,8,11,0,1,1,0
1,402,2,4,18,0,5,0,0
1,403,2,1,7,0,2,0,0
1,404,2,1,4,2,2,1,0
1,405,1,2,12,2,4,1,0
1,406,1,1,1,0,0,0,0
1,407,1,4,4,0,0,0,0
1,408,2,5,17,0,4,1,0
1,409,1,6,9,0,0,0,0
2,201,3,6,6,0,0,0,0
2,202,2,4,4,0,0,0,0
2,203,2,6,6,0,0,0,0
2,204,2,6,6,0,0,0,0
2,205,2,6,6,0,0,0,0
2,206,2,8,8,0,0,0,0
2,207,3,8,9,0,1,0,0
2,208,3,14,14,0,0,0,0
2,209,2,12,12,0,0,0,0
2,210,3,17,20,5,2,1,0
2,211,2,2,2,0,0,0,0
2,212,2,5,6,0,0,0,0
2,214,2,6,11,0,1,0,0
2,402,3,6,14,2,8,0,0
2,403,1,1,1,0,1,1,0
2,404,1,2,4,2,3,0,0
