id,lecture,run,addBlock,insertBlock,moveBlock,seperateBlock,destroyBlock,destroyBlockAlone
dqXiU67m,lecture(2-1),1,2,2,0,0,0,0
dqXiU67m,lecture(2-2),1,2,2,0,0,0,0
dqXiU67m,lecture(2-3),1,3,3,0,0,0,0
dqXiU67m,lecture(2-4),1,3,3,0,0,0,0
dqXiU67m,lecture(2-5),1,4,4,1,1,1,0
dqXiU67m,lecture(2-6),1,4,4,0,0,0,0
dqXiU67m,lecture(2-7),3,5,7,0,2,1,0
dqXiU67m,lecture(2-8),2,9,10,1,1,1,0
dqXiU67m,lecture(2-9),1,6,6,0,0,0,0
dqXiU67m,lecture(2-10),1,8,8,0,0,0,0
dqXiU67m,lecture(2-11),1,1,2,0,0,0,0
dqXiU67m,lecture(2-12),1,2,3,0,0,0,0
dqXiU67m,lecture(2-13),1,2,5,0,1,0,0
dqXiU67m,lecture(2-14),1,4,4,1,1,1,0
dqXiU67m,lecture(2-15),1,4,4,0,0,0,0
dqXiU67m,lecture(3-1),1,0,0,0,0,0,0
dqXiU67m,lecture(3-2),1,0,0,0,0,0,0
dqXiU67m,lecture(3-3),1,0,0,0,0,0,0
dqXiU67m,lecture(3-4),1,0,0,0,0,0,0
dqXiU67m,lecture(3-5),2,0,0,0,0,0,0
dqXiU67m,lecture(3-6),1,0,0,0,0,0,0
dqXiU67m,lecture(3-7),1,0,0,0,0,0,0
dqXiU67m,lecture(3-8),2,0,0,0,0,0,0
dqXiU67m,lecture(3-9),1,0,0,0,0,0,0
dqXiU67m,lecture(3-10),1,0,0,0,0,0,0
dqXiU67m,lecture(4-1),1,0,0,0,0,0,0
dqXiU67m,lecture(4-2),6,7,16,2,4,3,0
dqXiU67m,lecture(4-3),3,1,3,1,4,0,0
dqXiU67m,lecture(4-4),2,1,3,1,2,2,0
dqXiU67m,lecture(4-5),3,3,5,1,2,0,0
dqXiU67m,lecture(4-6),1,1,1,0,0,0,0
dqXiU67m,lecture(4-7),1,5,5,2,1,0,0
dqXiU67m,lecture(4-8),10,9,23,2,11,1,0
dqXiU67m,lecture(4-9),1,6,6,0,0,0,0
dqXiU67m,lecture(4-10),15,13,49,10,21,5,0
dqXiU67m,lecture(5-1),6,0,0,0,0,0,0
dqXiU67m,lecture(5-2),1,0,0,0,0,0,0
dqXiU67m,lecture(5-3),1,0,0,0,0,0,0
dqXiU67m,lecture(5-4),3,0,0,0,0,0,0
